S_X0 [cnt cm-2 arcmin-2],u(S_X0)_+,u(S_X0)_-,theta_c [arcsec],u(theta_c)_+,u(theta_c)_-,Delta_T0 [mK],u(Delta_T0)_+,u(Delta_T0)_-,kT [keV],u(kT)_+,u(kT)_-,DA [Gpc],u(DA)_+,u(DA)_-,z,Lambda [cnt cm3 s-1],u(Lambda)_+,u(Lambda)_-
27.4, 0.7, 0.6, 36.7, 1.4, 1.5, -1.44, 0.09, 0.09, 10.3, 0.5, 0.5, 1.30, 0.21, 0.19, 0.541, 2.50e-15, 0.03e-15, 0.03e-15
5.0, 0.2, 0.2, 49.6, 3.6, 3.1, -0.75, 0.10, 0.11, 10.0, 1.1, 0.9, 0.54, 0.20, 0.16, 0.255, 2.98e-15, 0.08e-15, 0.08e-15
4.6, 0.2, 0.2, 41.3, 2.8, 2.6, -0.70, 0.08, 0.07, 6.0, 0.6, 0.5, 1.13, 0.34, 0.27, 0.230, 2.57e-15, 0.09e-15, 0.07e-15
11.7, 0.2, 0.2, 57.0, 2.5, 2.6, -0.89, 0.09, 0.10, 8.9, 0.4, 0.4, 1.64, 0.40, 0.34, 0.375, 2.20e-15, 0.03e-15, 0.03e-15
23.3, 0.5, 0.5, 33.5, 1.2, 1.2, -1.48, 0.09, 0.09, 10.4, 0.6, 0.7, 1.26, 0.22, 0.19, 0.550, 2.06e-15, 0.03e-15, 0.03e-15
31.0, 1.1, 1.1, 19.7, 0.8, 0.8, -1.39, 0.12, 0.12, 13.8, 1.6, 1.3, 0.59, 0.17, 0.14, 0.584, 2.61e-15, 0.05e-15, 0.05e-15
13.7, 0.5, 0.5, 32.6, 1.6, 1.5, -0.72, 0.09, 0.09, 6.6, 0.4, 0.4, 0.61, 0.18, 0.15, 0.171, 2.90e-15, 0.07e-15, 0.07e-15
86.4, 6.2, 5.9, 6.7, 0.5, 0.4, -2.17, 0.23, 0.23, 8.2, 0.6, 0.6, 1.64, 0.41, 0.36, 0.686, 2.28e-15, 0.04e-15, 0.04e-15
39.9, 1.2, 1.1, 19.9, 0.7, 0.7, -0.80, 0.09, 0.09, 6.8, 0.3, 0.3, 0.76, 0.18, 0.17, 0.288, 2.28e-15, 0.03e-15, 0.03e-15
23.1, 0.4, 0.4, 49.4, 1.5, 1.5, -1.04, 0.10, 0.10, 7.3, 0.2, 0.2, 1.01, 0.22, 0.18, 0.182, 2.95e-15, 0.03e-15, 0.03e-15
14.2, 0.4, 0.4, 42.9, 1.6, 1.5, -1.22, 0.12, 0.12, 9.9, 0.6, 0.6, 0.77, 0.20, 0.17, 0.282, 3.05e-15, 0.04e-15, 0.04e-15
12.4, 0.3, 0.3, 43.3, 1.4, 1.4, -1.08, 0.11, 0.11, 7.6, 0.5, 0.4, 1.51, 0.37, 0.32, 0.217, 3.14e-15, 0.06e-15, 0.05e-15
571.5, 9.6, 9.5, 9.0, 0.1, 0.1, -2.02, 0.25, 0.25, 6.6, 0.1, 0.1, 0.98, 0.26, 0.23, 0.291, 2.67e-15, 0.02e-15, 0.02e-15
8.9, 0.2, 0.2, 68.7, 10.6, 8.4, -1.12, 0.09, 0.11, 9.8, 1.1, 1.1, 1.60, 0.43, 0.37, 0.826, 1.81e-15, 0.03e-15, 0.04e-15
24.8, 1.4, 1.4, 15.5, 1.2, 1.1, -0.90, 0.10, 0.10, 5.3, 0.5, 0.5, 3.65, 1.25, 0.97, 0.784, 2.04e-15, 0.10e-15, 0.09e-15
10.9, 0.4, 0.3, 39.4, 1.8, 1.7, -1.21, 0.12, 0.12, 9.8, 0.7, 0.7, 1.26, 0.31, 0.27, 0.544, 2.66e-15, 0.05e-15, 0.04e-15
44.8, 1.1, 1.1, 21.1, 0.7, 0.6, -1.24, 0.18, 0.18, 7.3, 0.2, 0.2, 0.62, 0.20, 0.16, 0.142, 3.09e-15, 0.03e-15, 0.03e-15
22.9, 1.5, 1.4, 15.3, 1.4, 1.3, -1.73, 0.17, 0.17, 12.7, 2.0, 1.6, 0.98, 0.35, 0.27, 0.890, 2.44e-15, 0.07e-15, 0.05e-15
33.7, 2.4, 2.2, 9.5, 0.7, 0.7, -1.33, 0.20, 0.21, 6.4, 0.6, 0.5, 1.97, 0.75, 0.60, 0.490, 2.72e-15, 0.10e-15, 0.11e-15
102.4, 1.7, 1.8, 20.7, 0.4, 0.4, -2.06, 0.17, 0.16, 10.0, 0.3, 0.3, 0.70, 0.13, 0.11, 0.183, 3.00e-15, 0.02e-15, 0.02e-15
1837.0, 30.0, 30.0, 4.8, 0.1, 0.1, -5.15, 0.58, 0.60, 13.5, 0.5, 0.5, 0.76, 0.20, 0.17, 0.451, 2.80e-15, 0.02e-15, 0.02e-15
113.1, 5.0, 4.5, 6.6, 0.3, 0.3, -1.36, 0.18, 0.18, 8.3, 0.6, 0.6, 1.11, 0.38, 0.30, 0.327, 2.48e-15, 0.07e-15, 0.07e-15
524.9, 7.1, 7.4, 8.1, 0.1, 0.1, -2.90, 0.21, 0.20, 8.4, 0.2, 0.2, 0.98, 0.16, 0.14, 0.252, 2.36e-15, 0.02e-15, 0.02e-15
1219.0, 12.2, 14.4, 3.59, 0.01, 0.01, -2.41, 0.38, 0.41, 5.8, 0.2, 0.1, 2.52, 0.86, 0.77, 0.545, 2.19e-15, 0.02e-15, 0.02e-15
48.2, 0.5, 0.5, 68.8, 1.1, 1.1, -1.36, 0.11, 0.12, 9.9, 0.3, 0.3, 0.68, 0.13, 0.12, 0.171, 3.11e-15, 0.02e-15, 0.02e-15
25.0, 0.4, 0.4, 50.1, 1.6, 1.5, -0.90, 0.05, 0.06, 8.7, 0.4, 0.4, 1.30, 0.21, 0.18, 0.322, 2.35e-15, 0.03e-15, 0.03e-15
2.6, 0.1, 0.1, 51.4, 4.5, 4.2, -0.59, 0.12, 0.12, 8.1, 0.9, 0.8, 0.72, 0.36, 0.28, 0.229, 2.74e-15, 0.05e-15, 0.04e-15 
64.6, 0.5, 0.5, 68.8, 1.1, 1.0, -1.89, 0.17, 0.17, 14.8, 0.4, 0.3, 0.42, 0.08, 0.07, 0.202, 2.56e-15, 0.01e-15, 0.01e-15
428.3, 9.1, 8.9, 5.2, 0.1, 0.1, -3.22, 0.30, 0.32, 6.5, 0.2, 0.2, 1.08, 0.23, 0.20, 0.152, 2.44e-15, 0.02e-15, 0.02e-15
20.8, 0.3, 0.3, 70.4, 1.7, 1.6, -0.87, 0.08, 0.08, 8.2, 0.4, 0.4, 1.07, 0.22, 0.20, 0.176, 3.01e-15, 0.04e-15, 0.03e-15
11.4, 1.3, 1.0, 12.4, 1.8, 1.8, -0.76, 0.17, 0.17, 7.7, 1.2, 1.0, 1.31, 0.75, 0.53, 0.813, 2.24e-15, 0.11e-15, 0.11e-15
5.9, 0.2, 0.2, 42.4, 3.1, 2.6, -0.46, 0.16, 0.16, 5.6, 0.3, 0.3, 0.52, 0.43, 0.30, 0.164, 3.09e-15, 0.08e-15, 0.08e-15
25.1, 0.9, 0.9, 18.4, 0.8, 0.7, -1.36, 0.13, 0.14, 7.2, 0.4, 0.4, 0.99, 0.25, 0.22, 0.224, 2.74e-15, 0.06e-15, 0.05e-15
15.0, 1.2, 1.0, 15.3, 1.6, 1.4, -0.52, 0.09, 0.09, 4.7, 0.5, 0.4, 3.11, 1.27, 0.99, 0.583, 2.07e-15, 0.09e-15, 0.09e-15
21.9, 1.0, 0.9, 22.0, 1.3, 1.3, -1.22, 0.13, 0.14, 8.6, 0.7, 0.6, 1.39, 0.39, 0.33, 0.570, 2.72e-15, 0.06e-15, 0.06e-15
66.5, 3.6, 3.5, 8.0, 0.4, 0.4, -1.21, 0.19, 0.19, 5.9, 0.3, 0.3, 0.76, 0.27, 0.21, 0.235, 2.82e-15, 0.05e-15, 0.06e-15
24.9, 1.0, 0.9, 22.7, 1.3, 1.2, -1.65, 0.13, 0.14, 9.8, 0.8, 0.7, 1.97, 0.43, 0.38, 0.483, 2.82e-15, 0.05e-15, 0.05e-15
12.5, 0.6, 0.6, 22.4, 1.3, 1.3, -1.68, 0.16, 0.16, 9.1, 0.8, 0.7, 1.85, 0.47, 0.39, 0.412, 2.78e-15, 0.05e-15, 0.06e-15
